year,state,county,fips,vote_rep,vote_dem,vote_oth,vote_total,pct_rep,pct_dem,pct_oth,winner,runnerup,pct_winner,margin_winner_over_runnerup
2008,AL,Autauga County,1001,17403,6093,145,23641,73.6,25.8,0.6,rep,dem,73.6,47.8
2008,AL,Baldwin County,1003,61271,19386,756,81413,75.3,23.8,0.9,rep,dem,75.3,51.5
2008,AL,Barbour County,1005,5866,5697,67,11630,50.4,49,0.6,rep,dem,50.4,1.4
2008,AL,Bibb County,1007,6262,2299,83,8644,72.4,26.6,1,rep,dem,72.4,45.8
2008,AL,Blount County,1009,20389,3522,356,24267,84,14.5,1.5,rep,dem,84,69.5
2008,AL,Bullock County,1011,1391,4011,13,5415,25.7,74.1,0.2,dem,rep,74.1,48.4
2008,AL,Butler County,1013,5485,4188,36,9709,56.5,43.1,0.4,rep,dem,56.5,13.4
2008,AL,Calhoun County,1015,32348,16334,560,49242,65.7,33.2,1.1,rep,dem,65.7,32.5
2008,AL,Chambers County,1017,8067,6799,90,14956,53.9,45.5,0.6,rep,dem,53.9,8.4
2008,AL,Cherokee County,1019,7298,2306,141,9745,74.9,23.7,1.5,rep,dem,74.9,51.2
2008,AL,Chilton County,1021,13960,3674,151,17785,78.5,20.7,0.9,rep,dem,78.5,57.8
2008,AL,Choctaw County,1023,4223,3636,35,7894,53.5,46.1,0.4,rep,dem,53.5,7.4
2008,AL,Clarke County,1025,7466,5914,55,13435,55.6,44,0.4,rep,dem,55.6,11.6
2008,AL,Clay County,1027,4984,1760,75,6819,73.1,25.8,1.1,rep,dem,73.1,47.3
2008,AL,Cleburne County,1029,5216,1168,108,6492,80.4,18,1.7,rep,dem,80.4,62.4
2008,AL,Coffee County,1031,14919,5079,130,20128,74.1,25.2,0.7,rep,dem,74.1,48.9
2008,AL,Colbert County,1033,14739,9703,401,24843,59.3,39.1,1.6,rep,dem,59.3,20.2
2008,AL,Conecuh County,1035,3470,3429,44,6943,50,49.4,0.6,rep,dem,50,0.6
2008,AL,Coosa County,1037,3248,2273,42,5563,58.4,40.9,0.8,rep,dem,58.4,17.5
2008,AL,Covington County,1039,12444,3240,103,15787,78.8,20.5,0.7,rep,dem,78.8,58.3
2008,AL,Crenshaw County,1041,4319,1938,34,6291,68.7,30.8,0.5,rep,dem,68.7,37.9
2008,AL,Cullman County,1043,28896,5864,545,35305,81.9,16.6,1.5,rep,dem,81.9,65.3
2008,AL,Dale County,1045,13886,5270,164,19320,71.9,27.3,0.9,rep,dem,71.9,44.6
2008,AL,Dallas County,1047,6798,13986,68,20852,32.6,67.1,0.3,dem,rep,67.1,34.5
2008,AL,DeKalb County,1049,17957,5658,400,24015,74.8,23.6,1.7,rep,dem,74.8,51.2
2008,AL,Elmore County,1051,25777,8301,237,34315,75.1,24.2,0.7,rep,dem,75.1,50.9
2008,AL,Escambia County,1053,9375,5188,111,14674,63.9,35.4,0.8,rep,dem,63.9,28.5
2008,AL,Etowah County,1055,30595,13497,645,44737,68.4,30.2,1.4,rep,dem,68.4,38.2
2008,AL,Fayette County,1057,5883,1994,80,7957,73.9,25.1,1,rep,dem,73.9,48.8
2008,AL,Franklin County,1059,8048,3469,176,11693,68.8,29.7,1.5,rep,dem,68.8,39.1
2008,AL,Geneva County,1061,9417,2134,106,11657,80.8,18.3,0.9,rep,dem,80.8,62.5
2008,AL,Greene County,1063,876,4408,21,5305,16.5,83.1,0.4,dem,rep,83.1,66.6
2008,AL,Hale County,1065,3200,4982,32,8214,39,60.7,0.4,dem,rep,60.7,21.7
2008,AL,Henry County,1067,5585,3018,45,8648,64.6,34.9,0.5,rep,dem,64.6,29.7
2008,AL,Houston County,1069,29254,12225,256,41735,70.1,29.3,0.6,rep,dem,70.1,40.8
2008,AL,Jackson County,1071,14083,6374,417,20874,67.5,30.5,2,rep,dem,67.5,37
2008,AL,Jefferson County,1073,149921,166121,2482,318524,47.1,52.2,0.8,dem,rep,52.2,5.1
2008,AL,Lamar County,1075,5419,1614,42,7075,76.6,22.8,0.6,rep,dem,76.6,53.8
2008,AL,Lauderdale County,1077,24068,13329,707,38104,63.2,35,1.9,rep,dem,63.2,28.2
2008,AL,Lawrence County,1079,9277,5164,239,14680,63.2,35.2,1.6,rep,dem,63.2,28
2008,AL,Lee County,1081,32230,21498,597,54325,59.3,39.6,1.1,rep,dem,59.3,19.7
2008,AL,Limestone County,1083,23598,9536,417,33551,70.3,28.4,1.2,rep,dem,70.3,41.9
2008,AL,Lowndes County,1085,1809,5449,20,7278,24.9,74.9,0.3,dem,rep,74.9,50
2008,AL,Macon County,1087,1396,9450,31,10877,12.8,86.9,0.3,dem,rep,86.9,74.1
2008,AL,Madison County,1089,86965,64117,1817,152899,56.9,41.9,1.2,rep,dem,56.9,15
2008,AL,Marengo County,1091,5516,5926,29,11471,48.1,51.7,0.3,dem,rep,51.7,3.6
2008,AL,Marion County,1093,9536,2600,219,12355,77.2,21,1.8,rep,dem,77.2,56.2
2008,AL,Marshall County,1095,25727,7038,401,33166,77.6,21.2,1.2,rep,dem,77.6,56.4
2008,AL,Mobile County,1097,98049,82181,1194,181424,54,45.3,0.7,rep,dem,54,8.7
2008,AL,Monroe County,1099,6175,5025,52,11252,54.9,44.7,0.5,rep,dem,54.9,10.2
2008,AL,Montgomery County,1101,42031,62166,546,104743,40.1,59.4,0.5,dem,rep,59.4,19.3
2008,AL,Morgan County,1103,36014,13895,633,50542,71.3,27.5,1.3,rep,dem,71.3,43.8
2008,AL,Perry County,1105,1679,4457,23,6159,27.3,72.4,0.4,dem,rep,72.4,45.1
2008,AL,Pickens County,1107,5434,4594,39,10067,54,45.6,0.4,rep,dem,54,8.4
2008,AL,Pike County,1109,8004,5879,72,13955,57.4,42.1,0.5,rep,dem,57.4,15.3
2008,AL,Randolph County,1111,7175,3064,145,10384,69.1,29.5,1.4,rep,dem,69.1,39.6
2008,AL,Russell County,1113,8705,10085,125,18915,46,53.3,0.7,dem,rep,53.3,7.3
